id,word,translation,category,curriculumLevel,example,exampleZh,image,audio
mc-ore,ore,矿石,item,MC-D1,The ore stays safe in my backpack.,ore安全地待在我的背包里。,media/semantic/ore.png,media/audio/ore.mp3
mc-plank,plank,木板,item,MC-D1,I show the plank to my teammate at camp.,我在营地把plank给队友看。,media/semantic/plank.png,media/audio/plank.mp3
mc-power,power,力量,item,MC-D1,We share the power when the team needs it.,队友需要时我们一起用power。,media/semantic/power.png,media/audio/power.mp3
mc-punch,punch,冲击,item,MC-D1,We share the punch when the team needs it.,队友需要时我们一起用punch。,media/semantic/punch.png,media/audio/punch.mp3
mc-raid,raid,袭击,item,MC-D1,I find the raid beside the crafting table.,我在工作台旁边找到raid。,media/semantic/raid.png,media/audio/raid.mp3
mc-rail,rail,铁轨,item,MC-D1,The rail stays safe in my backpack.,rail安全地待在我的背包里。,media/semantic/rail.png,media/audio/rail.mp3
mc-realm,realm,领域服务器,item,MC-D1,The realm stays safe in my backpack.,realm安全地待在我的背包里。,media/semantic/realm.png,media/audio/realm.mp3
mc-sculk,sculk,幽匿块,item,MC-D1,I use the sculk during our mission.,任务里我用到了sculk。,media/semantic/sculk.png,
mc-scute,scute,鳞甲,item,MC-D1,We prepare the scute before sunset.,日落前我们把scute准备好。,media/semantic/scute.png,
mc-slab,slab,台阶,item,MC-D1,We keep the slab in a quiet corner.,我们把slab放在安静的角落。,media/semantic/slab.png,media/audio/slab.mp3
mc-smite,smite,亡灵杀手,item,MC-D1,I use the smite during our mission.,任务里我用到了smite。,media/semantic/smite.png,media/audio/smite.mp3
mc-stray,stray,流浪者,item,MC-D1,We prepare the stray before sunset.,日落前我们把stray准备好。,media/semantic/stray.png,media/audio/stray.mp3
mc-tame,tame,驯服,item,MC-D1,I pick up the tame near the path.,我在小路边捡起tame。,media/semantic/tame.png,media/audio/tame.mp3
mc-tick,tick,游戏刻,item,MC-D1,I place the tick in my adventure chest.,我把tick放进冒险箱子。,media/semantic/tick.png,media/audio/tick.mp3
mc-tnt,tnt,TNT 炸药,item,MC-D1,I return the tnt after the mission.,任务结束后我把tnt还回去。,media/semantic/tnt.png,
mc-torch,torch,火把,item,MC-D1,The torch stays safe in my backpack.,torch安全地待在我的背包里。,media/semantic/torch.png,
mc-tuff,tuff,凝灰岩,item,MC-D1,We share the tuff when the team needs it.,队友需要时我们一起用tuff。,media/semantic/tuff.png,
mc-vault,vault,金库,item,MC-D1,I check the vault beside the campfire.,我在篝火旁检查vault。,media/semantic/vault.png,media/audio/vault.mp3
mc-vex,vex,恼鬼,item,MC-D1,We share the vex when the team needs it.,队友需要时我们一起用vex。,media/semantic/vex.png,media/audio/vex.mp3
mc-wool,wool,羊毛,item,MC-D1,The wool helps us finish the small task.,wool帮我们做完这件小事。,media/semantic/wool.png,media/audio/wool.mp3
mc-dye,dye,染料,color,MC-D1,We choose dye wool for the cozy room.,我们选dye羊毛布置温暖的房间。,media/semantic/dye.png,media/audio/dye.mp3
mc-daisy,daisy,雏菊,plant,MC-D1,I plant the daisy near the village well.,我在村子水井旁种下daisy。,media/semantic/daisy.png,media/audio/daisy.mp3
mc-tulip,tulip,郁金香,plant,MC-D1,I plant the tulip near the village well.,我在村子水井旁种下tulip。,media/semantic/tulip.png,media/audio/tulip.mp3
mc-bullseye,bullseye,正中靶心,advancement,MC-D2,Our team earns bullseye today.,今天我们队得到了bullseye。,media/semantic/bullseye.png,
mc-acacia,acacia,金合欢,block,MC-D2,I stack the acacia to make a small wall.,我把acacia叠成一堵小墙。,media/semantic/acacia.png,media/audio/acacia.mp3
mc-actinium,actinium,锕,block,MC-D2,The actinium keeps our little house strong.,actinium让小屋更结实。,media/semantic/actinium.png,
mc-aluminum,aluminum,铝,block,MC-D2,A torch shines on the aluminum at night.,夜里火把照亮了aluminum。,media/semantic/aluminum.png,
mc-antimony,antimony,n.法律的自相矛盾,block,MC-D2,I place the antimony beside the doorway.,我把antimony放在门口。,media/semantic/antimony.png,
mc-arena,arena,竞技场,block,MC-D2,I count the arena before we start building.,开工前我先数一数arena。,media/semantic/arena.png,
mc-argon,argon,氩,block,MC-D2,The builder stores the argon in a chest.,建造的人把argon放进箱子。,media/semantic/argon.png,
mc-arsenic,arsenic,砷剂,block,MC-D2,I count the arsenic before we start building.,开工前我先数一数arsenic。,media/semantic/arsenic.png,
mc-astatine,astatine,砹,block,MC-D2,I place the astatine beside the doorway.,我把astatine放在门口。,media/semantic/astatine.png,
mc-barium,barium,钡,block,MC-D2,I collect the barium before sunset.,日落前我把barium收好。,media/semantic/barium.png,
mc-basalt,basalt,玄武岩,block,MC-D2,I replace the broken basalt near camp.,我在营地旁换掉坏掉的basalt。,media/semantic/basalt.png,
mc-bismuth,bismuth,铋,block,MC-D2,The bismuth gives our base a new shape.,bismuth让基地有了新样子。,media/semantic/bismuth.png,
mc-bohrium,bohrium,Bh元素,block,MC-D2,The bohrium gives our base a new shape.,bohrium让基地有了新样子。,media/semantic/bohrium.png,
mc-boron,boron,硼,block,MC-D2,I stack the boron to make a small wall.,我把boron叠成一堵小墙。,media/semantic/boron.png,
mc-brick,brick,红砖,block,MC-D2,I replace the broken brick near camp.,我在营地旁换掉坏掉的brick。,media/semantic/brick.png,
mc-bricks,bricks,砖块,block,MC-D2,A torch shines on the bricks at night.,夜里火把照亮了bricks。,media/semantic/bricks.png,
mc-bromine,bromine,溴,block,MC-D2,Rain falls softly on the bromine.,雨轻轻落在bromine上。,media/semantic/bromine.png,
mc-cadmium,cadmium,镉,block,MC-D2,I stack the cadmium to make a small wall.,我把cadmium叠成一堵小墙。,media/semantic/cadmium.png,
mc-calcium,calcium,钙,block,MC-D2,I stack the calcium to make a small wall.,我把calcium叠成一堵小墙。,media/semantic/calcium.png,
mc-carbon,carbon,碳色,block,MC-D2,I count the carbon before we start building.,开工前我先数一数carbon。,media/semantic/carbon.png,
mc-cerium,cerium,铈,block,MC-D2,We choose the cerium for the garden wall.,花园围墙我们选用cerium。,media/semantic/cerium.png,
mc-cesium,cesium,铯,block,MC-D2,A torch shines on the cesium at night.,夜里火把照亮了cesium。,media/semantic/cesium.png,
mc-chain,chain,锁链,block,MC-D2,We build a safe step with the chain.,我们用chain搭出安全的台阶。,media/semantic/chain.png,media/audio/chain.mp3
mc-chlorine,chlorine,氯,block,MC-D2,We make a small path with the chlorine.,我们用chlorine铺出一条小路。,media/semantic/chlorine.png,
mc-chromium,chromium,铬,block,MC-D2,I stack the chromium to make a small wall.,我把chromium叠成一堵小墙。,media/semantic/chromium.png,
mc-clay,clay,黏土块,block,MC-D2,We build a safe step with the clay.,我们用clay搭出安全的台阶。,media/semantic/clay.png,
mc-cobalt,cobalt,钴蓝色,block,MC-D2,We use the cobalt to mark the path home.,我们用cobalt标出回家的路。,media/semantic/cobalt.png,
mc-cobweb,cobweb,蜘蛛网,block,MC-D2,The cobweb keeps our little house strong.,cobweb让小屋更结实。,media/semantic/cobweb.png,
mc-conduit,conduit,潮涌核心,block,MC-D2,The conduit keeps our little house strong.,conduit让小屋更结实。,media/semantic/conduit.png,
mc-curium,curium,锔,block,MC-D2,The builder stores the curium in a chest.,建造的人把curium放进箱子。,media/semantic/curium.png,
mc-deny,deny,"v.驳回 ,不予受理,拒绝,不受理 ,抵赖,否定,否认,否认",block,MC-D2,A torch shines on the deny at night.,夜里火把照亮了deny。,media/semantic/deny.png,
mc-dubnium,dubnium,Db元素,block,MC-D2,Rain falls softly on the dubnium.,雨轻轻落在dubnium上。,media/semantic/dubnium.png,
mc-erbium,erbium,铒,block,MC-D2,We make a small path with the erbium.,我们用erbium铺出一条小路。,media/semantic/erbium.png,
mc-europium,europium,铕,block,MC-D2,I collect the europium before sunset.,日落前我把europium收好。,media/semantic/europium.png,
mc-farmland,farmland,耕地,block,MC-D2,I count the farmland before we start building.,开工前我先数一数farmland。,media/semantic/farmland.png,
mc-fermium,fermium,镄,block,MC-D2,I place the fermium beside the doorway.,我把fermium放在门口。,media/semantic/fermium.png,
mc-fluorine,fluorine,氟,block,MC-D2,I collect the fluorine before sunset.,日落前我把fluorine收好。,media/semantic/fluorine.png,
mc-francium,francium,钫,block,MC-D2,I replace the broken francium near camp.,我在营地旁换掉坏掉的francium。,media/semantic/francium.png,
mc-gallium,gallium,镓,block,MC-D2,We choose the gallium for the garden wall.,花园围墙我们选用gallium。,media/semantic/gallium.png,
mc-gravel,gravel,沙砾,block,MC-D2,We build a safe step with the gravel.,我们用gravel搭出安全的台阶。,media/semantic/gravel.png,
mc-hafnium,hafnium,铪,block,MC-D2,Rain falls softly on the hafnium.,雨轻轻落在hafnium上。,media/semantic/hafnium.png,
mc-hassium,hassium,钅罕,block,MC-D2,We make a small path with the hassium.,我们用hassium铺出一条小路。,media/semantic/hassium.png,
mc-helium,helium,氦,block,MC-D2,Rain falls softly on the helium.,雨轻轻落在helium上。,media/semantic/helium.png,
mc-holmium,holmium,钬,block,MC-D2,We choose the holmium for the garden wall.,花园围墙我们选用holmium。,media/semantic/holmium.png,
mc-hydrogen,hydrogen,氢,block,MC-D2,I collect the hydrogen before sunset.,日落前我把hydrogen收好。,media/semantic/hydrogen.png,
mc-indium,indium,铟,block,MC-D2,Rain falls softly on the indium.,雨轻轻落在indium上。,media/semantic/indium.png,
mc-iodine,iodine,碘酒,block,MC-D2,A torch shines on the iodine at night.,夜里火把照亮了iodine。,media/semantic/iodine.png,
mc-iridium,iridium,铱,block,MC-D2,We use the iridium to mark the path home.,我们用iridium标出回家的路。,media/semantic/iridium.png,
mc-kelp,kelp,巨藻,block,MC-D2,The kelp gives our base a new shape.,kelp让基地有了新样子。,media/semantic/kelp.png,
mc-krypton,krypton,氪,block,MC-D2,I count the krypton before we start building.,开工前我先数一数krypton。,media/semantic/krypton.png,
mc-lithium,lithium,锂,block,MC-D2,I collect the lithium before sunset.,日落前我把lithium收好。,media/semantic/lithium.png,
mc-lutetium,lutetium,镥,block,MC-D2,We build a safe step with the lutetium.,我们用lutetium搭出安全的台阶。,media/semantic/lutetium.png,
mc-marble,marble,大理石,block,MC-D2,We use the marble to mark the path home.,我们用marble标出回家的路。,media/semantic/marble.png,
mc-mercury,mercury,水星,block,MC-D2,I replace the broken mercury near camp.,我在营地旁换掉坏掉的mercury。,media/semantic/mercury.png,
mc-mycelium,mycelium,菌丝体,block,MC-D2,We build a safe step with the mycelium.,我们用mycelium搭出安全的台阶。,media/semantic/mycelium.png,
mc-neon,neon,氖,block,MC-D2,I stack the neon to make a small wall.,我把neon叠成一堵小墙。,media/semantic/neon.png,
mc-nickel,nickel,镍,block,MC-D2,A torch shines on the nickel at night.,夜里火把照亮了nickel。,media/semantic/nickel.png,
mc-nihonium,nihonium,Nh元素,block,MC-D2,We use the nihonium to mark the path home.,我们用nihonium标出回家的路。,media/semantic/nihonium.png,
mc-niobium,niobium,铌,block,MC-D2,I count the niobium before we start building.,开工前我先数一数niobium。,media/semantic/niobium.png,
mc-nitrogen,nitrogen,氮,block,MC-D2,The nitrogen gives our base a new shape.,nitrogen让基地有了新样子。,media/semantic/nitrogen.png,
mc-nobelium,nobelium,锘,block,MC-D2,We build a safe step with the nobelium.,我们用nobelium搭出安全的台阶。,media/semantic/nobelium.png,
mc-osmium,osmium,锇,block,MC-D2,I stack the osmium to make a small wall.,我把osmium叠成一堵小墙。,media/semantic/osmium.png,
mc-oxygen,oxygen,氧气,block,MC-D2,We make a small path with the oxygen.,我们用oxygen铺出一条小路。,media/semantic/oxygen.png,
mc-planks,planks,木板,block,MC-D2,I replace the broken planks near camp.,我在营地旁换掉坏掉的planks。,media/semantic/planks.png,
mc-platinum,platinum,铂,block,MC-D2,We make a small path with the platinum.,我们用platinum铺出一条小路。,media/semantic/platinum.png,
mc-podzol,podzol,灰化土,block,MC-D2,We make a small path with the podzol.,我们用podzol铺出一条小路。,media/semantic/podzol.png,
mc-polonium,polonium,钋,block,MC-D2,We build a safe step with the polonium.,我们用polonium搭出安全的台阶。,media/semantic/polonium.png,
mc-purpur,purpur,紫珀,block,MC-D2,We make a small path with the purpur.,我们用purpur铺出一条小路。,media/semantic/purpur.png,
mc-radium,radium,镭,block,MC-D2,Rain falls softly on the radium.,雨轻轻落在radium上。,media/semantic/radium.png,
mc-radon,radon,氡,block,MC-D2,Rain falls softly on the radon.,雨轻轻落在radon上。,media/semantic/radon.png,
mc-rhenium,rhenium,铼,block,MC-D2,We make a small path with the rhenium.,我们用rhenium铺出一条小路。,media/semantic/rhenium.png,
mc-rhodium,rhodium,铑,block,MC-D2,I stack the rhodium to make a small wall.,我把rhodium叠成一堵小墙。,media/semantic/rhodium.png,
mc-rubidium,rubidium,铷,block,MC-D2,We choose the rubidium for the garden wall.,花园围墙我们选用rubidium。,media/semantic/rubidium.png,
mc-samarium,samarium,钐,block,MC-D2,The builder stores the samarium in a chest.,建造的人把samarium放进箱子。,media/semantic/samarium.png,
mc-scandium,scandium,钪,block,MC-D2,I stack the scandium to make a small wall.,我把scandium叠成一堵小墙。,media/semantic/scandium.png,
mc-selenium,selenium,硒,block,MC-D2,A torch shines on the selenium at night.,夜里火把照亮了selenium。,media/semantic/selenium.png,
mc-silicon,silicon,硅,block,MC-D2,I place the silicon beside the doorway.,我把silicon放在门口。,media/semantic/silicon.png,
mc-sodium,sodium,钠,block,MC-D2,The builder stores the sodium in a chest.,建造的人把sodium放进箱子。,media/semantic/sodium.png,
mc-spruce,spruce,云杉,block,MC-D2,I stack the spruce to make a small wall.,我把spruce叠成一堵小墙。,media/semantic/spruce.png,media/audio/spruce.mp3
mc-sulfur,sulfur,硫磺,block,MC-D2,I count the sulfur before we start building.,开工前我先数一数sulfur。,media/semantic/sulfur.png,
mc-tantalum,tantalum,钽,block,MC-D2,I collect the tantalum before sunset.,日落前我把tantalum收好。,media/semantic/tantalum.png,
mc-terbium,terbium,铽,block,MC-D2,Rain falls softly on the terbium.,雨轻轻落在terbium上。,media/semantic/terbium.png,
mc-thallium,thallium,铊,block,MC-D2,We make a small path with the thallium.,我们用thallium铺出一条小路。,media/semantic/thallium.png,
mc-thorium,thorium,瑟银,block,MC-D2,The thorium keeps our little house strong.,thorium让小屋更结实。,media/semantic/thorium.png,
mc-thulium,thulium,铥,block,MC-D2,A torch shines on the thulium at night.,夜里火把照亮了thulium。,media/semantic/thulium.png,
mc-tin,tin,听,block,MC-D2,We choose the tin for the garden wall.,花园围墙我们选用tin。,media/semantic/tin.png,
mc-titanium,titanium,钛,block,MC-D2,I replace the broken titanium near camp.,我在营地旁换掉坏掉的titanium。,media/semantic/titanium.png,
mc-tripwire,tripwire,绊线钩,block,MC-D2,A torch shines on the tripwire at night.,夜里火把照亮了tripwire。,media/semantic/tripwire.png,
mc-tungsten,tungsten,钨,block,MC-D2,We make a small path with the tungsten.,我们用tungsten铺出一条小路。,media/semantic/tungsten.png,
mc-uranium,uranium,铀,block,MC-D2,We use the uranium to mark the path home.,我们用uranium标出回家的路。,media/semantic/uranium.png,
mc-vanadium,vanadium,钒,block,MC-D2,I count the vanadium before we start building.,开工前我先数一数vanadium。,media/semantic/vanadium.png,
mc-xenon,xenon,氙气灯,block,MC-D2,We make a small path with the xenon.,我们用xenon铺出一条小路。,media/semantic/xenon.png,
mc-yttrium,yttrium,钇,block,MC-D2,We make a small path with the yttrium.,我们用yttrium铺出一条小路。,media/semantic/yttrium.png,
mc-zinc,zinc,锌,block,MC-D2,The zinc gives our base a new shape.,zinc让基地有了新样子。,media/semantic/zinc.png,
mc-pickaxe,pickaxe,镐,tool,MC-D2,The pickaxe helps us reach the high ledge.,pickaxe帮我们爬上高台。,media/semantic/pickaxe.png,media/audio/pickaxe.mp3
mc-shears,shears,剪刀,tool,MC-D2,I use the shears to gather materials.,我用shears去收集材料。,media/semantic/shears.png,
mc-shovel,shovel,锹,tool,MC-D2,I use the shovel to gather materials.,我用shovel去收集材料。,media/semantic/shovel.png,media/audio/shovel.mp3
mc-temple,temple,神殿,structure,MC-D2,We discover the temple beyond the river.,我们在河对岸发现了temple。,media/semantic/temple.png,media/audio/temple.mp3
mc-axolotl,axolotl,美西螈,mob,MC-D2,The axolotl hides behind a tree.,axolotl躲在树后面。,media/semantic/axolotl.png,media/audio/axolotl.mp3
mc-beehive,beehive,蜂箱,mob,MC-D2,We draw the beehive in our adventure book.,我们把beehive画进冒险本。,media/semantic/beehive.png,
mc-beetroot,beetroot,甜菜根,mob,MC-D2,The beetroot follows us along the path.,beetroot跟着我们走在路上。,media/semantic/beetroot.png,
mc-creeper,creeper,苦力怕,mob,MC-D2,We hear a creeper behind the trees.,树后面传来creeper的声音。,media/semantic/creeper.png,media/audio/creeper.mp3
mc-enderman,enderman,末影人,mob,MC-D2,I spot a enderman near the village.,我在村子附近看见enderman。,media/semantic/enderman.png,media/audio/enderman.mp3
mc-guardian,guardian,守卫者,mob,MC-D2,Our map marks a guardian nearby.,地图上标着附近有guardian。,media/semantic/guardian.png,media/audio/guardian.mp3
mc-hoglin,hoglin,疣猪兽,mob,MC-D2,A hoglin rests beside the river.,一只hoglin在河边休息。,media/semantic/hoglin.png,media/audio/hoglin.mp3
mc-phantom,phantom,幻翼,mob,MC-D2,A phantom rests beside the river.,一只phantom在河边休息。,media/semantic/phantom.png,media/audio/phantom.mp3
mc-piglin,piglin,猪灵,mob,MC-D2,The piglin visits our camp at dawn.,天亮时piglin来到我们的营地。,media/semantic/piglin.png,media/audio/piglin.mp3
mc-skeleton,skeleton,骷髅,mob,MC-D2,A skeleton crosses the bridge slowly.,一只skeleton慢慢走过桥。,media/semantic/skeleton.png,
mc-spawner,spawner,刷怪笼,mob,MC-D2,The spawner follows us along the path.,spawner跟着我们走在路上。,media/semantic/spawner.png,
mc-strider,strider,炽足兽,mob,MC-D2,Our map marks a strider nearby.,地图上标着附近有strider。,media/semantic/strider.png,media/audio/strider.mp3
mc-villager,villager,村民,mob,MC-D2,I spot a villager near the village.,我在村子附近看见villager。,media/semantic/villager.png,media/audio/villager.mp3
mc-wither,wither,凋灵,mob,MC-D2,The wither hides behind a tree.,wither躲在树后面。,media/semantic/wither.png,media/audio/wither.mp3
mc-zombie,zombie,僵尸,mob,MC-D2,We draw the zombie in our adventure book.,我们把zombie画进冒险本。,media/semantic/zombie.png,media/audio/zombie.mp3
mc-biomes,biomes,生物群系,biome,MC-D2,The biomes is full of new plants to discover.,biomes里有很多新植物可以看。,media/semantic/biomes.png,
mc-nether,nether,下界,biome,MC-D2,Our camp sits at the edge of the nether.,我们的营地在nether边上。,media/semantic/nether.png,
mc-plains,plains,平原,biome,MC-D2,We mark the plains on our map.,我们在地图上标出plains。,media/semantic/plains.png,
mc-savanna,savanna,热带草原,biome,MC-D2,We listen for new sounds in the savanna.,我们在savanna里听有没有新声音。,media/semantic/savanna.png,
mc-berries,berries,浆果,food,MC-D2,The berries fills my hunger bar.,berries让我填饱肚子。,media/semantic/berries.png,
mc-carrots,carrots,胡萝卜,food,MC-D2,I put the carrots in the camp chest.,我把carrots放进营地箱子。,media/semantic/carrots.png,
mc-mutton,mutton,羊肉,food,MC-D2,I eat the mutton beside the warm fire.,我在暖和的火堆旁吃mutton。,media/semantic/mutton.png,
mc-porkchop,porkchop,猪排,food,MC-D2,I share the porkchop with my teammate.,我和队友一起用porkchop。,media/semantic/porkchop.png,
mc-potatoes,potatoes,土豆,food,MC-D2,We make a picnic with the potatoes.,我们用potatoes做一次野餐。,media/semantic/potatoes.png,
mc-salmon,salmon,鲑鱼,food,MC-D2,The salmon fills my hunger bar.,salmon让我填饱肚子。,media/semantic/salmon.png,
mc-crossbow,crossbow,弩,weapon,MC-D2,I hold the crossbow when night falls.,天黑时我拿着crossbow。,media/semantic/crossbow.png,
mc-shield,shield,盾牌,weapon,MC-D2,We choose the shield for a careful rescue.,这次小心救援我们选了shield。,media/semantic/shield.png,
mc-sword,sword,剑,weapon,MC-D2,The sword protects our team on the trail.,sword在路上保护着我们。,media/semantic/sword.png,media/audio/sword.mp3
mc-trident,trident,三叉戟,weapon,MC-D2,The trident stays in its display frame.,trident待在展示框里。,media/semantic/trident.png,
mc-alex,alex,Alex（角色）,item,MC-D2,I use the alex during our mission.,任务里我用到了alex。,media/semantic/alex.png,
mc-altitude,altitude,海拔,item,MC-D2,We prepare the altitude before sunset.,日落前我们把altitude准备好。,media/semantic/altitude.png,
mc-ambience,ambience,环境音,item,MC-D2,We keep the ambience in a quiet corner.,我们把ambience放在安静的角落。,media/semantic/ambience.png,
mc-amethyst,amethyst,紫水晶,item,MC-D2,My teammate passes me the amethyst.,队友把amethyst递给我。,media/semantic/amethyst.png,media/audio/amethyst.mp3
mc-ammonia,ammonia,氨,item,MC-D2,I return the ammonia after the mission.,任务结束后我把ammonia还回去。,media/semantic/ammonia.png,
mc-andesite,andesite,安山岩,item,MC-D2,We prepare the andesite before sunset.,日落前我们把andesite准备好。,media/semantic/andesite.png,
mc-badlands,badlands,恶地,item,MC-D2,The badlands helps us finish the small task.,badlands帮我们做完这件小事。,media/semantic/badlands.png,
mc-banner,banner,旗帜,item,MC-D2,I use the banner during our mission.,任务里我用到了banner。,media/semantic/banner.png,media/audio/banner.mp3
mc-barrel,barrel,木桶,item,MC-D2,We prepare the barrel before sunset.,日落前我们把barrel准备好。,media/semantic/barrel.png,media/audio/barrel.mp3
mc-beacon,beacon,信标,item,MC-D2,I place the beacon in my adventure chest.,我把beacon放进冒险箱子。,media/semantic/beacon.png,
mc-bedrock,bedrock,基岩,item,MC-D2,My teammate passes me the bedrock.,队友把bedrock递给我。,media/semantic/bedrock.png,
mc-bogged,bogged,泥沼骷髅,item,MC-D2,I place the bogged in my adventure chest.,我把bogged放进冒险箱子。,media/semantic/bogged.png,media/audio/bogged.mp3
mc-breach,breach,破甲,item,MC-D2,The breach stays safe in my backpack.,breach安全地待在我的背包里。,media/semantic/breach.png,media/audio/breach.mp3
mc-breeze,breeze,风弹怪,item,MC-D2,We keep the breeze in a quiet corner.,我们把breeze放在安静的角落。,media/semantic/breeze.png,media/audio/breeze.mp3
mc-brewing,brewing,酿造,item,MC-D2,We share the brewing when the team needs it.,队友需要时我们一起用brewing。,media/semantic/brewing.png,media/audio/brewing.mp3
mc-bundle,bundle,收纳袋,item,MC-D2,The bundle is ready for our next adventure.,bundle已经准备好下一次冒险。,media/semantic/bundle.png,
mc-calcite,calcite,方解石,item,MC-D2,I place the calcite in my adventure chest.,我把calcite放进冒险箱子。,media/semantic/calcite.png,
mc-campfire,campfire,营火,item,MC-D2,I place the campfire in my adventure chest.,我把campfire放进冒险箱子。,media/semantic/campfire.png,
mc-cane,cane,甘蔗,item,MC-D2,We share the cane when the team needs it.,队友需要时我们一起用cane。,media/semantic/cane.png,
