id,kind,word,translation,category,curriculumLevel,example,exampleZh,phonetic
word-skip,phonics,skip,跳过,consonant-blends,L5,sk-i-p,跳过,sk-i-p
word-skin,phonics,skin,皮肤,consonant-blends,L5,sk-i-n,皮肤,sk-i-n
word-skit,phonics,skit,小品,consonant-blends,L5,sk-i-t,小品,sk-i-t
word-hand,phonics,hand,手,consonant-blends,L5,h-a-nd,手,h-a-nd
word-sand,phonics,sand,沙子,consonant-blends,L5,s-a-nd,沙子,s-a-nd
word-send,phonics,send,寄出,consonant-blends,L5,s-e-nd,寄出,s-e-nd
word-tent,phonics,tent,帐篷,consonant-blends,L5,t-e-nt,帐篷,t-e-nt
word-mint,phonics,mint,薄荷,consonant-blends,L5,m-i-nt,薄荷,m-i-nt
word-pant,phonics,pant,喘气,consonant-blends,L5,p-a-nt,喘气,p-a-nt
word-lamp,phonics,lamp,灯,consonant-blends,L5,l-a-mp,灯,l-a-mp
word-jump,phonics,jump,跳,consonant-blends,L5,j-u-mp,跳,j-u-mp
word-camp,phonics,camp,营地,consonant-blends,L5,c-a-mp,营地,c-a-mp
word-left,phonics,left,左边,consonant-blends,L5,l-e-ft,左边,l-e-ft
word-gift,phonics,gift,礼物,consonant-blends,L5,g-i-ft,礼物,g-i-ft
word-soft,phonics,soft,软,consonant-blends,L5,s-o-ft,软,s-o-ft
letter-a,phonics,a,apple,amt,L1,,a,
letter-b,phonics,b,bat,fb,L1,,b,
letter-c,phonics,c,cat,alpha,L1,,c,
letter-d,phonics,d,dog,alpha,L1,,d,
letter-e,phonics,e,egg,alpha,L1,,e,
letter-f,phonics,f,fan,fb,L1,,f,
letter-g,phonics,g,goat,alpha,L1,,g,
letter-h,phonics,h,hat,alpha,L1,,h,
letter-i,phonics,i,igloo,alpha,L1,,i,
letter-j,phonics,j,jam,alpha,L1,,j,
letter-k,phonics,k,kite,alpha,L1,,k,
letter-l,phonics,l,leaf,alpha,L1,,l,
letter-m,phonics,m,map,amt,L1,,m,
letter-n,phonics,n,net,alpha,L1,,n,
letter-o,phonics,o,octopus,alpha,L1,,o,
letter-p,phonics,p,pan,alpha,L1,,p,
letter-q,phonics,q,queen,alpha,L1,,q,
letter-r,phonics,r,rat,alpha,L1,,r,
letter-s,phonics,s,sun,alpha,L1,,s,
letter-t,phonics,t,tap,amt,L1,,t,
letter-u,phonics,u,umbrella,alpha,L1,,u,
letter-v,phonics,v,van,alpha,L1,,v,
letter-w,phonics,w,web,alpha,L1,,w,
letter-x,phonics,x,box,alpha,L1,,x,
letter-y,phonics,y,yellow,alpha,L1,,y,
letter-z,phonics,z,zip,alpha,L1,,z,
