id,kind,word,translation,category,curriculumLevel,example,exampleZh,phonetic
zh-就,literacy,就,jiù,life,L1,成就 将就,用组词来记：「成就」「将就」。看见这些词，就能找到「就」。,jiù
zh-出,literacy,出,chū,action,L1,出去 出门,用组词来记：「出去」「出门」。看见这些词，就能找到「出」。,chū
zh-会,literacy,会,huì,life,L1,安理会 奥委会,用组词来记：「安理会」「奥委会」。看见这些词，就能找到「会」。,huì
zh-可,literacy,可,kě,nature,L1,江南可采 不可,用组词来记：「江南可采」「不可」。看见这些词，就能找到「可」。,kě
zh-也,literacy,也,yě,self,L1,也是 也好,用组词来记：「也是」「也好」。看见这些词，就能找到「也」。,yě
zh-你,literacy,你,nǐ,self,L1,你和我 你好,用组词来记：「你和我」「你好」。看见这些词，就能找到「你」。,nǐ
zh-对,literacy,对,duì,life,L1,对愁眠 相对出,用组词来记：「对愁眠」「相对出」。看见这些词，就能找到「对」。,duì
zh-生,literacy,生,shēng,school,L1,生字 生紫烟,用组词来记：「生字」「生紫烟」。看见这些词，就能找到「生」。,shēng
zh-能,literacy,能,néng,number,L1,能开二月 本能,用组词来记：「能开二月」「本能」。看见这些词，就能找到「能」。,néng
zh-而,literacy,而,ér,life,L1,从而 而后,用组词来记：「从而」「而后」。看见这些词，就能找到「而」。,ér
zh-子,literacy,子,zi,family,L1,孩子 儿子,用组词来记：「孩子」「儿子」。看见这些词，就能找到「子」。,zi
zh-那,literacy,那,nà,life,L1,刹那 刹那间,用组词来记：「刹那」「刹那间」。看见这些词，就能找到「那」。,nà
zh-得,literacy,得,dé,animal,L1,怕得鱼惊 巴不得,用组词来记：「怕得鱼惊」「巴不得」。看见这些词，就能找到「得」。,dé
zh-于,literacy,于,yú,color,L1,霜叶红于 便于,用组词来记：「霜叶红于」「便于」。看见这些词，就能找到「于」。,yú
zh-着,literacy,着,zhe,life,L1,挨着 按着,用组词来记：「挨着」「按着」。看见这些词，就能找到「着」。,zhe
zh-下,literacy,下,xià,life,L1,下雨 下面,用组词来记：「下雨」「下面」。看见这些词，就能找到「下」。,xià
zh-自,literacy,自,zì,life,L1,自己 凌寒独自,用组词来记：「自己」「凌寒独自」。看见这些词，就能找到「自」。,zì
zh-之,literacy,之,zhī,life,L1,百分之 称之为,用组词来记：「百分之」「称之为」。看见这些词，就能找到「之」。,zhī
zh-年,literacy,年,nián,life,L1,新年 过年,用组词来记：「新年」「过年」。看见这些词，就能找到「年」。,nián
zh-过,literacy,过,guò,life,L1,过年 过来,用组词来记：「过年」「过来」。看见这些词，就能找到「过」。,guò
zh-发,literacy,发,fà,body,L1,头发 发卡,用组词来记：「头发」「发卡」。看见这些词，就能找到「发」。,fà
zh-后,literacy,后,hòu,life,L1,后面 背后,用组词来记：「后面」「背后」。看见这些词，就能找到「后」。,hòu
zh-作,literacy,作,zuò,school,L1,作业 工作,用组词来记：「作业」「工作」。看见这些词，就能找到「作」。,zuò
zh-里,literacy,里,lǐ,life,L1,家里 里面,用组词来记：「家里」「里面」。看见这些词，就能找到「里」。,lǐ
zh-用,literacy,用,yòng,life,L1,备用 备用金,用组词来记：「备用」「备用金」。看见这些词，就能找到「用」。,yòng
zh-道,literacy,道,dào,number,L1,浮萍一道 霸道,用组词来记：「浮萍一道」「霸道」。看见这些词，就能找到「道」。,dào
zh-行,literacy,行,xíng,life,L1,将欲行 临行密密,用组词来记：「将欲行」「临行密密」。看见这些词，就能找到「行」。,xíng
zh-所,literacy,所,suǒ,nature,L1,变电所 避难所,用组词来记：「变电所」「避难所」。看见这些词，就能找到「所」。,suǒ
zh-然,literacy,然,rán,body,L1,忽然闭口 昂然,用组词来记：「忽然闭口」「昂然」。看见这些词，就能找到「然」。,rán
zh-家,literacy,家,jiā,life,L1,回家 家人,用组词来记：「回家」「家人」。看见这些词，就能找到「家」。,jiā
zh-种,literacy,种,zhǒng,number,L1,春种一粒 变种,用组词来记：「春种一粒」「变种」。看见这些词，就能找到「种」。,zhǒng
zh-事,literacy,事,shì,life,L1,办事 办事处,用组词来记：「办事」「办事处」。看见这些词，就能找到「事」。,shì
zh-成,literacy,成,chéng,number,L1,八成 办不成,用组词来记：「八成」「办不成」。看见这些词，就能找到「成」。,chéng
zh-方,literacy,方,fāng,life,L1,东方 北方,用组词来记：「东方」「北方」。看见这些词，就能找到「方」。,fāng
zh-多,literacy,多,duō,quantity,L1,很多 多少,用组词来记：「很多」「多少」。看见这些词，就能找到「多」。,duō
zh-经,literacy,经,jīng,life,L1,不经 不经济,用组词来记：「不经」「不经济」。看见这些词，就能找到「经」。,jīng
zh-么,literacy,么,me,life,L1,多么 干什么,用组词来记：「多么」「干什么」。看见这些词，就能找到「么」。,me
zh-去,literacy,去,qù,life,L1,回去 出去,用组词来记：「回去」「出去」。看见这些词，就能找到「去」。,qù
zh-法,literacy,法,fǎ,life,L1,办法 辩证法,用组词来记：「办法」「辩证法」。看见这些词，就能找到「法」。,fǎ
zh-学,literacy,学,xué,action,L1,学习 上学,用组词来记：「学习」「上学」。看见这些词，就能找到「学」。,xué
zh-如,literacy,如,rú,action,L1,比如 比如说,用组词来记：「比如」「比如说」。看见这些词，就能找到「如」。,rú
zh-都,literacy,都,dōu,life,L1,成都 成都市,用组词来记：「成都」「成都市」。看见这些词，就能找到「都」。,dōu
zh-同,literacy,同,tóng,life,L1,不同 不同意,用组词来记：「不同」「不同意」。看见这些词，就能找到「同」。,tóng
zh-现,literacy,现,xiàn,life,L1,表现 表现力,用组词来记：「表现」「表现力」。看见这些词，就能找到「现」。,xiàn
zh-当,literacy,当,dāng,life,L1,便当 不当,用组词来记：「便当」「不当」。看见这些词，就能找到「当」。,dāng
zh-没,literacy,没,méi,self,L1,没有 没了,用组词来记：「没有」「没了」。看见这些词，就能找到「没」。,méi
zh-动,literacy,动,dòng,life,L1,爱劳动 摆动,用组词来记：「爱劳动」「摆动」。看见这些词，就能找到「动」。,dòng
zh-面,literacy,面,miàn,food,L1,面条 面包,用组词来记：「面条」「面包」。看见这些词，就能找到「面」。,miàn
zh-起,literacy,起,qǐ,action,L1,起床 一起,用组词来记：「起床」「一起」。看见这些词，就能找到「起」。,qǐ
zh-看,literacy,看,kàn,action,L1,看书 看见,用组词来记：「看书」「看见」。看见这些词，就能找到「看」。,kàn
zh-定,literacy,定,dìng,life,L1,安定 按规定,用组词来记：「安定」「按规定」。看见这些词，就能找到「定」。,dìng
zh-天,literacy,天,tiān,nature,L1,今天 天气,用组词来记：「今天」「天气」。看见这些词，就能找到「天」。,tiān
zh-分,literacy,分,fēn,number,L1,十分 安分,用组词来记：「十分」「安分」。看见这些词，就能找到「分」。,fēn
zh-还,literacy,还,hái,number,L1,一日还 人未还,用组词来记：「一日还」「人未还」。看见这些词，就能找到「还」。,hái
zh-进,literacy,进,jìn,action,L1,进来 进去,用组词来记：「进来」「进去」。看见这些词，就能找到「进」。,jìn
zh-好,literacy,好,hǎo,self,L1,你好 好吃,用组词来记：「你好」「好吃」。看见这些词，就能找到「好」。,hǎo
zh-小,literacy,小,xiǎo,quantity,L1,小花 小鸟,用组词来记：「小花」「小鸟」。看见这些词，就能找到「小」。,xiǎo
zh-部,literacy,部,bù,life,L1,北部 本部,用组词来记：「北部」「本部」。看见这些词，就能找到「部」。,bù
zh-其,literacy,其,qí,life,L1,充其量 何其,用组词来记：「充其量」「何其」。看见这些词，就能找到「其」。,qí
zh-些,literacy,些,xiē,life,L1,好些 某些,用组词来记：「好些」「某些」。看见这些词，就能找到「些」。,xiē
zh-主,literacy,主,zhǔ,life,L1,班主任 霸主,用组词来记：「班主任」「霸主」。看见这些词，就能找到「主」。,zhǔ
zh-样,literacy,样,yàng,life,L1,榜样 变样,用组词来记：「榜样」「变样」。看见这些词，就能找到「样」。,yàng
zh-理,literacy,理,lǐ,life,L1,按理 安理会,用组词来记：「按理」「安理会」。看见这些词，就能找到「理」。,lǐ
zh-心,literacy,心,xīn,body,L1,开心 爱心,用组词来记：「开心」「爱心」。看见这些词，就能找到「心」。,xīn
zh-本,literacy,本,běn,school,L1,本子 书本,用组词来记：「本子」「书本」。看见这些词，就能找到「本」。,běn
zh-前,literacy,前,qián,life,L1,前面 向前,用组词来记：「前面」「向前」。看见这些词，就能找到「前」。,qián
zh-开,literacy,开,kāi,life,L1,开门 开车,用组词来记：「开门」「开车」。看见这些词，就能找到「开」。,kāi
zh-但,literacy,但,dàn,animal,L1,但使龙城 不但,用组词来记：「但使龙城」「不但」。看见这些词，就能找到「但」。,dàn
zh-因,literacy,因,yīn,life,L1,病因 成因,用组词来记：「病因」「成因」。看见这些词，就能找到「因」。,yīn
zh-只,literacy,只,zhī,quantity,L1,一只 两只,用组词来记：「一只」「两只」。看见这些词，就能找到「只」。,zhī
zh-从,literacy,从,cóng,life,L1,笑问客从 从不,用组词来记：「笑问客从」「从不」。看见这些词，就能找到「从」。,cóng
zh-想,literacy,想,xiǎng,life,L1,不想 猜想,用组词来记：「不想」「猜想」。看见这些词，就能找到「想」。,xiǎng
zh-实,literacy,实,shí,life,L1,办实事 诚实,用组词来记：「办实事」「诚实」。看见这些词，就能找到「实」。,shí
zh-日,literacy,日,rì,nature,L1,日出 日子,用组词来记：「日出」「日子」。看见这些词，就能找到「日」。,rì
zh-军,literacy,军,jūn,life,L1,裁军 参军,用组词来记：「裁军」「参军」。看见这些词，就能找到「军」。,jūn
zh-者,literacy,者,zhě,life,L1,爱国者 爱好者,用组词来记：「爱国者」「爱好者」。看见这些词，就能找到「者」。,zhě
zh-意,literacy,意,yì,number,L1,一心一意 三心二意,用组词来记：「一心一意」「三心二意」。看见这些词，就能找到「意」。,yì
zh-无,literacy,无,wú,life,L1,无知己 乡音无改,用组词来记：「无知己」「乡音无改」。看见这些词，就能找到「无」。,wú
zh-力,literacy,力,lì,body,L1,力气 大力,用组词来记：「力气」「大力」。看见这些词，就能找到「力」。,lì
zh-它,literacy,它,tā,life,L1,其它 它们,用组词来记：「其它」「它们」。看见这些词，就能找到「它」。,tā
zh-与,literacy,与,yǔ,life,L1,参与 参与者,用组词来记：「参与」「参与者」。看见这些词，就能找到「与」。,yǔ
zh-长,literacy,长,zhǎng,nature,L1,长江 万里长征,用组词来记：「长江」「万里长征」。看见这些词，就能找到「长」。,zhǎng
zh-把,literacy,把,bǎ,life,L1,总把新桃 把柄,用组词来记：「总把新桃」「把柄」。看见这些词，就能找到「把」。,bǎ
zh-机,literacy,机,jī,body,L1,耳机 飞机,用组词来记：「耳机」「飞机」。看见这些词，就能找到「机」。,jī
zh-十,literacy,十,shí,number,L1,十个 十月,用组词来记：「十个」「十月」。看见这些词，就能找到「十」。,shí
zh-民,literacy,民,mín,life,L1,爱民 爱人民,用组词来记：「爱民」「爱人民」。看见这些词，就能找到「民」。,mín
zh-第,literacy,第,dì,number,L1,第二 第二步,用组词来记：「第二」「第二步」。看见这些词，就能找到「第」。,dì
zh-公,literacy,公,gōng,life,L1,公园 公鸡,用组词来记：「公园」「公鸡」。看见这些词，就能找到「公」。,gōng
zh-此,literacy,此,cǐ,nature,L1,至此回 只在此山,用组词来记：「至此回」「只在此山」。看见这些词，就能找到「此」。,cǐ
zh-已,literacy,已,yǐ,life,L1,轻舟已过 不得已,用组词来记：「轻舟已过」「不得已」。看见这些词，就能找到「已」。,yǐ
zh-工,literacy,工,gōng,life,L1,工作 罢工,用组词来记：「工作」「罢工」。看见这些词，就能找到「工」。,gōng
zh-使,literacy,使,shǐ,animal,L1,但使龙城 出使,用组词来记：「但使龙城」「出使」。看见这些词，就能找到「使」。,shǐ
zh-情,literacy,情,qíng,life,L1,送我情 爱情,用组词来记：「送我情」「爱情」。看见这些词，就能找到「情」。,qíng
zh-明,literacy,明,míng,life,L1,明天 明亮,用组词来记：「明天」「明亮」。看见这些词，就能找到「明」。,míng
zh-性,literacy,性,xìng,life,L1,安全性 报复性,用组词来记：「安全性」「报复性」。看见这些词，就能找到「性」。,xìng
zh-知,literacy,知,zhī,nature,L1,无知己 云深不知,用组词来记：「无知己」「云深不知」。看见这些词，就能找到「知」。,zhī
zh-全,literacy,全,quán,number,L1,十全十美 安全,用组词来记：「十全十美」「安全」。看见这些词，就能找到「全」。,quán
zh-三,literacy,三,sān,number,L1,三个 三月,用组词来记：「三个」「三月」。看见这些词，就能找到「三」。,sān
zh-又,literacy,又,yòu,nature,L1,又疑瑶台 春风吹又,用组词来记：「又疑瑶台」「春风吹又」。看见这些词，就能找到「又」。,yòu
zh-关,literacy,关,guān,life,L1,关门 开关,用组词来记：「关门」「开关」。看见这些词，就能找到「关」。,guān
zh-点,literacy,点,diǎn,body,L1,点头 百分点,用组词来记：「点头」「百分点」。看见这些词，就能找到「点」。,diǎn
zh-正,literacy,正,zhèng,life,L1,摆正 不正,用组词来记：「摆正」「不正」。看见这些词，就能找到「正」。,zhèng
zh-业,literacy,业,yè,school,L1,作业 课业,用组词来记：「作业」「课业」。看见这些词，就能找到「业」。,yè
zh-外,literacy,外,wài,life,L1,外面 门外,用组词来记：「外面」「门外」。看见这些词，就能找到「外」。,wài
zh-将,literacy,将,jiāng,life,L1,将欲行 飞将在,用组词来记：「将欲行」「飞将在」。看见这些词，就能找到「将」。,jiāng
zh-两,literacy,两,liǎng,quantity,L1,两个 两只,用组词来记：「两个」「两只」。看见这些词，就能找到「两」。,liǎng
zh-高,literacy,高,gāo,quantity,L1,高山 高兴,用组词来记：「高山」「高兴」。看见这些词，就能找到「高」。,gāo
zh-间,literacy,间,jiān,life,L1,中间 房间,用组词来记：「中间」「房间」。看见这些词，就能找到「间」。,jiān
zh-由,literacy,由,yóu,life,L1,不由 不由得,用组词来记：「不由」「不由得」。看见这些词，就能找到「由」。,yóu
zh-问,literacy,问,wèn,action,L1,问好 问人,用组词来记：「问好」「问人」。看见这些词，就能找到「问」。,wèn
zh-很,literacy,很,hěn,life,L1,很冷 很多,用组词来记：「很冷」「很多」。看见这些词，就能找到「很」。,hěn
zh-最,literacy,最,zuì,life,L1,最迟 最初,用组词来记：「最迟」「最初」。看见这些词，就能找到「最」。,zuì
zh-重,literacy,重,zhòng,nature,L1,万重山 保重,用组词来记：「万重山」「保重」。看见这些词，就能找到「重」。,zhòng
zh-并,literacy,并,bìng,life,L1,并按 并报,用组词来记：「并按」「并报」。看见这些词，就能找到「并」。,bìng
zh-物,literacy,物,wù,life,L1,博物 博物馆,用组词来记：「博物」「博物馆」。看见这些词，就能找到「物」。,wù
zh-手,literacy,手,shǒu,body,L1,小手 洗手,用组词来记：「小手」「洗手」。看见这些词，就能找到「手」。,shǒu
zh-应,literacy,应,yīng,life,L1,不应人 本应,用组词来记：「不应人」「本应」。看见这些词，就能找到「应」。,yīng
zh-战,literacy,战,zhàn,life,L1,备战 参战,用组词来记：「备战」「参战」。看见这些词，就能找到「战」。,zhàn
zh-向,literacy,向,xiàng,nature,L1,向前 曲项向天,用组词来记：「向前」「曲项向天」。看见这些词，就能找到「向」。,xiàng
zh-头,literacy,头,tóu,body,L1,点头 头发,用组词来记：「点头」「头发」。看见这些词，就能找到「头」。,tóu
zh-文,literacy,文,wén,school,L1,课文 半文盲,用组词来记：「课文」「半文盲」。看见这些词，就能找到「文」。,wén
zh-体,literacy,体,tǐ,body,L1,身体 半导体,用组词来记：「身体」「半导体」。看见这些词，就能找到「体」。,tǐ
zh-政,literacy,政,zhèng,life,L1,财政 财政部,用组词来记：「财政」「财政部」。看见这些词，就能找到「政」。,zhèng
zh-美,literacy,美,měi,number,L1,十全十美 爱美,用组词来记：「十全十美」「爱美」。看见这些词，就能找到「美」。,měi
zh-相,literacy,相,xiāng,life,L1,不相识 相对出,用组词来记：「不相识」「相对出」。看见这些词，就能找到「相」。,xiāng
zh-见,literacy,见,jiàn,animal,L1,看见 见牛羊,用组词来记：「看见」「见牛羊」。看见这些词，就能找到「见」。,jiàn
zh-被,literacy,被,bèi,life,L1,被捕 被称为,用组词来记：「被捕」「被称为」。看见这些词，就能找到「被」。,bèi
zh-利,literacy,利,lì,life,L1,本利 便利,用组词来记：「本利」「便利」。看见这些词，就能找到「利」。,lì
zh-什,literacy,什,shén,life,L1,干什么 喀什,用组词来记：「干什么」「喀什」。看见这些词，就能找到「什」。,shén
zh-二,literacy,二,èr,number,L1,二月 十二,用组词来记：「二月」「十二」。看见这些词，就能找到「二」。,èr
zh-等,literacy,等,děng,life,L1,不等 不等于,用组词来记：「不等」「不等于」。看见这些词，就能找到「等」。,děng
zh-产,literacy,产,chǎn,life,L1,半脱产 包产,用组词来记：「半脱产」「包产」。看见这些词，就能找到「产」。,chǎn
zh-或,literacy,或,huò,life,L1,或是 或许,用组词来记：「或是」「或许」。看见这些词，就能找到「或」。,huò
zh-新,literacy,新,xīn,life,L1,新年 新书,用组词来记：「新年」「新书」。看见这些词，就能找到「新」。,xīn
zh-己,literacy,己,jǐ,life,L1,自己 无知己,用组词来记：「自己」「无知己」。看见这些词，就能找到「己」。,jǐ
zh-制,literacy,制,zhì,life,L1,百分制 包干制,用组词来记：「百分制」「包干制」。看见这些词，就能找到「制」。,zhì
zh-身,literacy,身,shēn,body,L1,身体 身上,用组词来记：「身体」「身上」。看见这些词，就能找到「身」。,shēn
zh-果,literacy,果,guǒ,food,L1,水果 果子,用组词来记：「水果」「果子」。看见这些词，就能找到「果」。,guǒ
zh-加,literacy,加,jiā,life,L1,倍加 参加,用组词来记：「倍加」「参加」。看见这些词，就能找到「加」。,jiā
zh-西,literacy,西,xī,life,L1,西边 东西,用组词来记：「西边」「东西」。看见这些词，就能找到「西」。,xī
zh-斯,literacy,斯,sī,life,L1,俄罗斯 恩格斯,用组词来记：「俄罗斯」「恩格斯」。看见这些词，就能找到「斯」。,sī
zh-月,literacy,月,yuè,nature,L1,月亮 月光,用组词来记：「月亮」「月光」。看见这些词，就能找到「月」。,yuè
zh-话,literacy,话,huà,school,L1,说话 电话,用组词来记：「说话」「电话」。看见这些词，就能找到「话」。,huà
zh-合,literacy,合,hé,life,L1,闭合 不合,用组词来记：「闭合」「不合」。看见这些词，就能找到「合」。,hé
zh-回,literacy,回,huí,action,L1,回家 回来,用组词来记：「回家」「回来」。看见这些词，就能找到「回」。,huí
zh-特,literacy,特,tè,life,L1,独特 名特产,用组词来记：「独特」「名特产」。看见这些词，就能找到「特」。,tè
zh-代,literacy,代,dài,life,L1,代办 代办处,用组词来记：「代办」「代办处」。看见这些词，就能找到「代」。,dài
zh-内,literacy,内,nèi,life,L1,场内 党内,用组词来记：「场内」「党内」。看见这些词，就能找到「内」。,nèi
zh-信,literacy,信,xìn,life,L1,不信 宠信,用组词来记：「不信」「宠信」。看见这些词，就能找到「信」。,xìn
zh-表,literacy,表,biǎo,color,L1,报表 表白,用组词来记：「报表」「表白」。看见这些词，就能找到「表」。,biǎo
zh-化,literacy,化,huà,color,L1,白热化 变化,用组词来记：「白热化」「变化」。看见这些词，就能找到「化」。,huà
zh-老,literacy,老,lǎo,family,L1,老师 老人,用组词来记：「老师」「老人」。看见这些词，就能找到「老」。,lǎo
zh-给,literacy,给,gěi,action,L1,给你 给我,用组词来记：「给你」「给我」。看见这些词，就能找到「给」。,gěi
zh-世,literacy,世,shì,life,L1,本世纪 出世,用组词来记：「本世纪」「出世」。看见这些词，就能找到「世」。,shì
zh-位,literacy,位,wèi,life,L1,本单位 本位,用组词来记：「本单位」「本位」。看见这些词，就能找到「位」。,wèi
zh-次,literacy,次,cì,life,L1,班次 本次,用组词来记：「班次」「本次」。看见这些词，就能找到「次」。,cì
zh-度,literacy,度,dù,nature,L1,度阴山 春风不度,用组词来记：「度阴山」「春风不度」。看见这些词，就能找到「度」。,dù
zh-门,literacy,门,mén,life,L1,开门 大门,用组词来记：「开门」「大门」。看见这些词，就能找到「门」。,mén
zh-任,literacy,任,rèn,life,L1,班主任 曾任,用组词来记：「班主任」「曾任」。看见这些词，就能找到「任」。,rèn
zh-常,literacy,常,cháng,life,L1,常备 常德,用组词来记：「常备」「常德」。看见这些词，就能找到「常」。,cháng
zh-先,literacy,先,xiān,life,L1,急先锋 领先,用组词来记：「急先锋」「领先」。看见这些词，就能找到「先」。,xiān
zh-海,literacy,海,hǎi,nature,L1,大海 海边,用组词来记：「大海」「海边」。看见这些词，就能找到「海」。,hǎi
zh-通,literacy,通,tōng,life,L1,变通 拨通,用组词来记：「变通」「拨通」。看见这些词，就能找到「通」。,tōng
zh-教,literacy,教,jiào,animal,L1,不教胡马 佛教,用组词来记：「不教胡马」「佛教」。看见这些词，就能找到「教」。,jiào
zh-儿,literacy,儿,ér,family,L1,儿子 儿女,用组词来记：「儿子」「儿女」。看见这些词，就能找到「儿」。,ér
zh-原,literacy,原,yuán,life,L1,离离原上 草原,用组词来记：「离离原上」「草原」。看见这些词，就能找到「原」。,yuán
zh-东,literacy,东,dōng,life,L1,东边 东西,用组词来记：「东边」「东西」。看见这些词，就能找到「东」。,dōng
zh-声,literacy,声,shēng,life,L1,哭声 踏歌声,用组词来记：「哭声」「踏歌声」。看见这些词，就能找到「声」。,shēng
zh-提,literacy,提,tí,life,L1,别提 并提,用组词来记：「别提」「并提」。看见这些词，就能找到「提」。,tí
zh-立,literacy,立,lì,body,L1,立上头 并立,用组词来记：「立上头」「并立」。看见这些词，就能找到「立」。,lì
zh-及,literacy,及,jí,life,L1,不及汪伦 遍及,用组词来记：「不及汪伦」「遍及」。看见这些词，就能找到「及」。,jí
zh-比,literacy,比,bǐ,life,L1,按比例 百分比,用组词来记：「按比例」「百分比」。看见这些词，就能找到「比」。,bǐ
zh-员,literacy,员,yuán,life,L1,办事员 保管员,用组词来记：「办事员」「保管员」。看见这些词，就能找到「员」。,yuán
zh-解,literacy,解,jiě,number,L1,不解藏踪 解落三秋,用组词来记：「不解藏踪」「解落三秋」。看见这些词，就能找到「解」。,jiě
zh-水,literacy,水,shuǐ,nature,L1,喝水 水果,用组词来记：「喝水」「水果」。看见这些词，就能找到「水」。,shuǐ
zh-名,literacy,名,míng,school,L1,名字 小名,用组词来记：「名字」「小名」。看见这些词，就能找到「名」。,míng
zh-真,literacy,真,zhēn,life,L1,逼真 传真,用组词来记：「逼真」「传真」。看见这些词，就能找到「真」。,zhēn
zh-论,literacy,论,lùn,life,L1,辩论 不论,用组词来记：「辩论」「不论」。看见这些词，就能找到「论」。,lùn
zh-处,literacy,处,chù,life,L1,何处来 登高处,用组词来记：「何处来」「登高处」。看见这些词，就能找到「处」。,chù
zh-走,literacy,走,zǒu,action,L1,走路 走开,用组词来记：「走路」「走开」。看见这些词，就能找到「走」。,zǒu
zh-义,literacy,义,yì,life,L1,贬义 不义,用组词来记：「贬义」「不义」。看见这些词，就能找到「义」。,yì
zh-各,literacy,各,gè,life,L1,各部 各部门,用组词来记：「各部」「各部门」。看见这些词，就能找到「各」。,gè
zh-入,literacy,入,rù,life,L1,入口 进入,用组词来记：「入口」「进入」。看见这些词，就能找到「入」。,rù
zh-几,literacy,几,jǐ,nature,L1,几岁 不几天,用组词来记：「几岁」「不几天」。看见这些词，就能找到「几」。,jǐ
zh-口,literacy,口,kǒu,body,L1,开口 大口,用组词来记：「开口」「大口」。看见这些词，就能找到「口」。,kǒu
zh-认,literacy,认,rèn,life,L1,辨认 承认,用组词来记：「辨认」「承认」。看见这些词，就能找到「认」。,rèn
zh-条,literacy,条,tiáo,color,L1,面条 白条,用组词来记：「面条」「白条」。看见这些词，就能找到「条」。,tiáo
zh-平,literacy,平,píng,life,L1,不平 不平等,用组词来记：「不平」「不平等」。看见这些词，就能找到「平」。,píng
zh-系,literacy,系,xì,life,L1,本系统 关系,用组词来记：「本系统」「关系」。看见这些词，就能找到「系」。,xì
zh-气,literacy,气,qì,nature,L1,天气 空气,用组词来记：「天气」「空气」。看见这些词，就能找到「气」。,qì
zh-题,literacy,题,tí,life,L1,标题 成问题,用组词来记：「标题」「成问题」。看见这些词，就能找到「题」。,tí
zh-活,literacy,活,huó,life,L1,成活 成活率,用组词来记：「成活」「成活率」。看见这些词，就能找到「活」。,huó
zh-尔,literacy,尔,ěr,life,L1,哈尔滨 华尔街,用组词来记：「哈尔滨」「华尔街」。看见这些词，就能找到「尔」。,ěr
zh-更,literacy,更,gèng,number,L1,更上一层 更大,用组词来记：「更上一层」「更大」。看见这些词，就能找到「更」。,gèng
zh-别,literacy,别,bié,life,L1,辨别 别处,用组词来记：「辨别」「别处」。看见这些词，就能找到「别」。,bié
zh-打,literacy,打,dǎ,action,L1,打开 打球,用组词来记：「打开」「打球」。看见这些词，就能找到「打」。,dǎ
zh-女,literacy,女,nǚ,family,L1,女儿 女孩,用组词来记：「女儿」「女孩」。看见这些词，就能找到「女」。,nǚ
